SEZCENS;ZONASTAT;NCIRCO;SUPERF
2485;70;8;47219.96
2486;70;8;127542.48
2487;71;7;72049.66
2488;71;7;32456.15
2489;71;7;17268.55
2490;71;7;50021.1
2491;71;7;16241
2492;71;7;34497.86
2493;71;7;23547.91
2494;71;7;41820.09
2495;71;7;13933.35
2496;71;7;11645.87
2497;71;7;18575.2
2498;71;7;6585.17
2499;71;7;11642.63
2500;71;7;9693.19
2501;72;7;213217.65
2502;72;7;171639.36
2503;72;7;57357.42
2504;72;7;45797.9
2506;72;7;210613.67
2507;72;7;144969.52
2508;72;7;51094.34
2509;72;7;23226.05
2510;72;7;26016.37
2511;72;7;14776.29
2512;72;7;9385.32
2513;72;7;28845.05
2514;72;7;13329.55
2515;72;7;104828.23
2516;72;7;46928.02
2517;72;7;32892.3
2518;72;7;8494.44
2519;72;7;13407.74
2520;73;7;171812.37
2521;73;7;788862.73
2522;73;7;482618.26
2523;73;7;125044.53
2524;74;7;697038.5
2525;74;7;127941.72
2526;74;7;246958.54
2527;74;7;419705.04
2528;74;7;197500.27
2529;74;7;431376.13
2530;74;7;436537.74
2531;75;8;198849.38
2532;75;8;250122.27
2533;75;8;508143.71
2534;75;8;57307.36
2535;75;8;248552.62
2536;75;8;56509.89
2537;76;6;848814.38
2538;76;6;1301871.66
2539;76;6;371143.11
2540;76;6;270410.75
2542;77;6;452535.79
2543;77;6;118440.73
2544;77;6;495294.39
2545;77;6;189777.53
2546;77;6;689388.13
2548;78;6;378252.12
2550;78;6;80011.15
2551;78;6;55740.43
2552;78;6;33549.16
2553;78;6;16541.64
2554;78;6;42140.39
2555;78;6;40981.18
2556;78;6;88432.04
2557;78;6;95428.74
2558;78;6;27302.19
2559;78;6;1771415.43
2560;79;6;120456.41
2561;79;6;167230.96
2562;79;6;279354.64
1733;40;6;13233.96
1735;40;6;38698.71
1736;40;6;9803.91
1737;40;6;14894.56
1738;40;6;10453.51
1739;40;6;29923.41
1740;40;6;11267
1741;40;6;15917.37
1742;40;6;25942.77
1743;40;6;68693.83
1744;40;6;7956.57
1745;40;6;10788.81
1746;40;6;6615.38
1747;40;6;6856.41
1748;40;6;11172.17
1749;40;6;128373.72
1750;40;6;17437.5
1751;40;6;46783.58
1752;40;6;8269.47
1753;40;6;13970.2
1754;40;6;136570.6
1755;40;6;16406.24
1756;40;6;46152.14
1757;41;6;45494.51
1758;41;6;14181.44
1759;41;6;14517.01
1760;41;6;17109.96
1761;41;6;4044.05
1762;41;6;13859.63
1763;41;6;36454.04
1764;41;6;15803.55
1765;41;6;8112.7
1766;41;6;6789.1
1767;41;6;9712.78
1768;41;6;7280.02
1769;41;6;7584.78
1770;41;6;26885.4
1771;41;6;19453.72
1772;41;6;61026.58
1773;41;6;32690.21
1774;41;6;22831.59
1775;42;5;15965.55
1776;42;5;10673.63
1777;42;5;15443.28
1778;42;5;13355.14
1779;42;5;8968.16
1780;42;5;8932.55
1781;42;5;19254.43
1782;42;5;8515.23
1783;42;5;8482.29
1784;42;5;15194.63
1785;42;5;20340.21
1786;42;5;11086.43
1787;42;5;6012.61
1788;42;5;12653.6
1789;42;5;7058.94
1790;42;5;16542.65
1791;42;5;12653.34
1792;42;5;7138.4
1793;42;5;13376.79
1794;42;5;17595.54
1795;42;5;22943.79
1796;42;5;14600.69
1797;42;5;13823.69
1798;42;5;18203.82
1799;42;5;13855.35
1800;42;5;13315.81
1801;42;5;13996.44
1802;42;5;22570.97
1803;42;5;7293.33
1804;42;5;5520.49
1805;42;5;11965.27
1806;42;5;7502.8
1807;42;5;11039.89
1808;42;5;10492.5
1809;42;5;14170.89
1810;42;5;12358.83
1811;42;5;9519.22
1812;42;5;14474.59
1813;43;5;29930.08
1814;43;5;9904.85
1815;43;5;9979.7
1816;43;5;11133.24
1817;43;5;24788.96
1818;43;5;29191.48
1819;43;5;62822.44
1820;43;5;8117.76
1821;43;5;35607.47
1822;43;5;30659.06
1823;43;5;50573.71
1824;43;5;8806.03
1825;43;5;9014.18
1826;43;5;9644.55
1827;43;5;9892.6
1828;43;5;9523.77
1829;43;5;9334.83
1830;43;5;9583.17
1831;43;5;9397.09
1833;43;5;92644.6
1834;43;5;10989.66
1835;43;5;9369.47
1836;43;5;20246.72
1837;43;5;20532.26
1838;43;5;10887.69
1839;43;5;11148.73
1840;43;5;14567.13
1841;43;5;10965.61
1842;43;5;11009.01
1843;43;5;11130.3
1844;43;5;10006.85
1845;44;5;13344.45
1846;44;5;9253.86
1847;44;5;19853.63
1848;44;5;21919.56
1849;44;5;16520.25
1850;44;5;57189.27
1851;44;5;4745.85
1852;44;5;26481.1
1853;44;5;28654.27
1854;44;5;8923.97
1855;44;5;6258.19
1856;44;5;15939.38
1857;44;5;282800.8
1858;44;5;16659.21
1859;44;5;9931.95
1860;44;5;3682.62
1861;44;5;7955.45
1862;44;5;11490.64
1863;44;5;28727.05
1864;44;5;42455.52
1868;45;5;14529.54
1869;45;5;8235.38
1870;45;5;8240.76
1871;45;5;16921.73
1872;45;5;7990.82
1873;45;5;28496.77
1874;45;5;13434.39
1875;45;5;38675.75
1877;45;5;21735.21
1878;45;5;18410.11
1879;45;5;15361.04
1880;45;5;6430.69
1881;45;5;34203.47
1882;45;5;32226.19
1883;45;5;30903.46
1884;45;5;49107.97
1885;45;5;11680.67
1886;45;5;52789.88
1887;45;5;14308.38
1888;45;5;10071.6
