COMUNE;SEZ2011;P1;P61;E17;E18;E19;E20
Milano;151460000153;40;18;0;0;0;3
Milano;151460000154;31;19;1;0;0;1
Milano;151460000155;125;66;0;0;0;8
Milano;151460000156;126;65;0;0;1;7
Milano;151460000157;67;30;1;1;1;5
Milano;151460000158;102;45;1;0;1;5
Milano;151460000159;62;31;0;0;0;4
Milano;151460000160;11;7;0;1;0;1
Milano;151460000161;74;29;0;0;0;6
Milano;151460000162;30;18;0;1;3;1
Milano;151460000163;0;0;0;0;0;0
Milano;151460000164;81;34;0;0;0;6
Milano;151460000165;76;37;0;0;0;3
Milano;151460000166;0;0;0;0;0;0
Milano;151460000167;0;0;0;0;0;0
Milano;151460000168;6;1;0;0;0;0
Milano;151460000169;11;7;0;0;1;0
Milano;151460000170;72;27;0;0;0;3
Milano;151460000171;141;80;0;1;1;6
Milano;151460000172;31;15;0;0;0;2
Milano;151460000173;127;65;5;0;0;6
Milano;151460000174;174;82;2;2;0;9
Milano;151460000175;91;51;3;1;1;1
Milano;151460000176;127;65;4;2;0;7
Milano;151460000177;144;77;0;0;1;15
Milano;151460000178;53;26;0;0;0;2
Milano;151460000179;44;19;0;0;1;3
Milano;151460000180;31;16;0;0;0;1
Milano;151460000181;78;42;0;0;0;2
Milano;151460000182;4;2;0;0;1;0
Milano;151460000183;24;14;0;1;0;0
Milano;151460000184;3;2;0;1;0;0
Milano;151460000185;37;22;1;1;0;1
Milano;151460000186;0;0;0;0;0;0
Milano;151460000187;37;14;0;0;3;0
Milano;151460000188;14;12;0;3;1;0
Milano;151460000189;26;14;0;1;2;0
Milano;151460000190;74;30;4;2;0;2
Milano;151460000191;19;13;0;3;1;0
Milano;151460000192;49;24;0;0;0;3
Milano;151460000193;6;3;0;0;1;0
Milano;151460000194;6;4;0;0;0;1
Milano;151460000195;93;47;0;0;1;8
Milano;151460000196;233;100;0;0;1;13
Milano;151460000197;50;21;0;0;0;3
Milano;151460000198;72;40;0;0;0;6
Milano;151460000199;47;20;0;0;0;1
Milano;151460000200;115;48;0;0;0;4
Milano;151460000201;225;107;0;2;0;7
Milano;151460000202;62;33;0;0;0;1
Milano;151460000203;142;63;0;0;0;6
Milano;151460000204;136;78;0;0;2;11
Milano;151460000205;91;44;0;0;1;3
Milano;151460000206;3;1;0;1;0;0
Milano;151460000207;56;25;0;0;1;1
Milano;151460000208;70;32;0;0;0;3
Milano;151460000209;188;77;1;0;0;9
Milano;151460000210;178;74;0;1;0;6
Milano;151460000211;211;108;0;0;0;7
Milano;151460000212;150;81;0;1;1;9
Milano;151460000213;0;0;0;0;0;0
Milano;151460000214;112;48;1;0;1;2
Milano;151460000215;48;23;1;1;2;0
Milano;151460000216;96;46;0;0;1;5
Milano;151460000217;156;77;3;2;3;4
Milano;151460000218;0;0;0;0;0;0
Milano;151460000219;85;42;0;0;6;0
Milano;151460000220;82;33;2;2;0;2
Milano;151460000221;8;3;0;1;2;0
Milano;151460000222;92;56;0;1;0;7
Milano;151460000223;27;14;0;0;0;4
Milano;151460000224;24;13;0;0;1;0
Milano;151460000225;245;126;0;0;0;12
Milano;151460000226;106;49;0;2;0;5
Milano;151460000227;48;20;0;0;0;4
Milano;151460000228;107;47;0;0;0;5
Milano;151460000229;169;84;0;0;0;8
Milano;151460000230;102;52;0;0;2;5
Milano;151460000231;2;2;0;1;0;0
Milano;151460000232;176;84;0;0;0;1
Milano;151460000233;26;18;0;0;0;1
Milano;151460000234;84;31;0;0;0;1
Milano;151460000235;104;42;0;0;0;2
Milano;151460000236;60;34;0;0;2;5
Milano;151460000237;154;74;0;0;1;6
Milano;151460000238;242;127;1;0;1;8
Milano;151460000239;39;18;0;0;2;4
Milano;151460000240;162;84;0;0;3;5
Milano;151460000241;141;68;0;0;1;13
Milano;151460000242;70;33;0;0;0;3
Milano;151460000243;47;36;0;0;2;0
Milano;151460000244;80;45;1;0;1;5
Milano;151460000245;69;29;0;0;0;8
Milano;151460000246;3;3;0;0;1;0
Milano;151460000247;8;7;0;1;0;0
Milano;151460000248;0;0;0;0;0;0
Milano;151460000249;41;20;1;0;0;5
Milano;151460000250;125;61;0;0;1;8
Milano;151460000251;78;44;0;0;2;5
Milano;151460000252;275;129;3;0;2;11
Milano;151460000253;59;28;0;0;0;5
Milano;151460000254;210;97;0;0;4;8
Milano;151460000255;47;26;0;0;0;1
Milano;151460000256;14;10;0;0;1;2
Milano;151460000257;36;22;1;1;0;4
Milano;151460000258;122;59;0;0;2;7
Milano;151460000259;51;25;0;0;1;6
Milano;151460000260;62;21;1;0;0;4
Milano;151460000261;69;35;0;1;1;9
Milano;151460000262;54;27;1;0;0;5
Milano;151460000263;121;48;0;0;4;4
Milano;151460000264;491;178;1;0;0;4
Milano;151460000265;44;24;0;0;0;4
Milano;151460000266;54;22;0;0;0;3
Milano;151460000267;336;167;0;0;1;18
Milano;151460000268;26;13;0;0;0;1
Milano;151460000269;137;73;0;0;0;11
Milano;151460000270;153;79;0;0;0;10
Milano;151460000271;131;50;0;1;4;5
Milano;151460000272;466;213;0;1;6;11
Milano;151460000273;5;3;0;0;0;2
Milano;151460000274;1;1;0;1;0;0
Milano;151460000275;0;0;0;0;0;0
Milano;151460000276;73;34;0;0;2;6
